South Africa,93.94
New Zealand,90.33
England,89.41
Ireland,87.97
France,87.24
Argentina,84.97
Australia,81.53
Fiji,81.14
Scotland,80.22
Italy,78.98
Wales,74.23
Japan,74.09
Georgia,73.18
Uruguay,69.19
Spain,69.01
USA,68.26
Chile,66.72
Tonga,66.66
Samoa,66.43
Portugal,64.98
Romania,61.50
Hong Kong China,59.61
Zimbabwe,58.80
Canada,58.75
